,playerid,fname,lname,position,height,weight,birthday,country,school,draft_year,fullname,API_Names
502,1631133,Jabari,Walker,Forward,6-7,200,2002-07-30,USA,Colorado,2022,Jabari Walker,Jabari Walker
503,202689,Kemba,Walker,Guard,6-0,184,1990-05-08,USA,Connecticut,2011,Kemba Walker,Jabari Walker
504,1629022,Lonnie,Walker IV,Guard-Forward,6-4,204,1998-12-14,USA,Miami,2018,Lonnie Walker IV,Lonnie Walker IV
505,202322,John,Wall,Guard,6-3,210,1990-09-06,USA,Kentucky,2010,John Wall,John Collins
506,203933,T.J.,Warren,Forward,6-8,220,1993-09-05,USA,North Carolina State,2014,T.J. Warren,A.J. Green
507,1629023,P.J.,Washington,Forward,6-7,230,1998-08-23,USA,Kentucky,2019,P.J. Washington,P.J. Washington
508,1630613,Duane,Washington Jr.,Guard,6-2,197,2000-03-24,Germany,Ohio State,2021,Duane Washington Jr.,TyTy Washington Jr.
509,1631102,TyTy,Washington Jr.,Guard,6-3,195,2001-11-15,USA,Kentucky,2022,TyTy Washington Jr.,TyTy Washington Jr.
510,1629139,Yuta,Watanabe,Guard-Forward,6-8,215,1994-10-13,Japan,George Washington,2018,Yuta Watanabe,Yuta Watanabe
511,1630322,Lindy,Waters III,Forward,6-6,210,1997-07-28,USA,Oklahoma State,2021,Lindy Waters III,Lindy Waters III
512,1630570,Trendon,Watford,Forward,6-8,237,2000-11-09,USA,Louisiana State,2021,Trendon Watford,Trendon Watford
513,1631212,Peyton,Watson,Guard,6-7,200,2002-09-11,USA,UCLA,2022,Peyton Watson,Peyton Watson
514,1631104,Blake,Wesley,Guard,6-4,185,2003-03-16,USA,Notre Dame,2022,Blake Wesley,Blake Wesley
515,201566,Russell,Westbrook,Guard,6-3,200,1988-11-12,USA,UCLA,2008,Russell Westbrook,Russell Westbrook
516,1629632,Coby,White,Guard,6-5,195,2000-02-16,USA,North Carolina,2019,Coby White,Coby White
517,1628401,Derrick,White,Guard,6-4,190,1994-07-02,USA,Colorado,2017,Derrick White,Derrick White
518,1631298,Jack,White,Forward,6-7,225,1997-08-05,Australia,Duke,2022,Jack White,Derrick White
520,1630598,Aaron,Wiggins,Guard,6-5,190,1999-01-02,USA,Maryland,2021,Aaron Wiggins,Aaron Wiggins
521,203952,Andrew,Wiggins,Forward,6-7,197,1995-02-23,Canada,Kansas,2014,Andrew Wiggins,Andrew Wiggins
522,1629623,Lindell,Wigginton,Guard,6-1,189,1998-03-28,Canada,Iowa State,2019,Lindell Wigginton,Lindell Wigginton
523,1631214,Alondes,Williams,Guard,6-4,210,1999-06-19,USA,Wake Forest,2022,Alondes Williams,Jalen Williams
524,1631495,Donovan,Williams,Guard,6-6,190,2001-09-06,USA,UNLV,2022,Donovan Williams,Jalen Williams
525,1629684,Grant,Williams,Forward,6-6,236,1998-11-30,USA,Tennessee,2019,Grant Williams,Grant Williams
526,1631114,Jalen,Williams,Guard-Forward,6-5,211,2001-04-14,USA,Santa Clara,2022,Jalen Williams,Jalen Williams
527,1631119,Jaylin,Williams,Forward,6-9,240,2002-06-29,USA,Arkansas,2022,Jaylin Williams,Jaylin Williams
528,1631466,Jeenathan,Williams,Guard,6-5,205,1999-02-12,USA,Buffalo,2022,Jeenathan Williams,Jeenathan Williams
529,1629026,Kenrich,Williams,Guard-Forward,6-6,210,1994-12-02,USA,TCU,2018,Kenrich Williams,Kenrich Williams
530,1631109,Mark,Williams,Center,7-0,240,2001-12-16,USA,Duke,2022,Mark Williams,Mark Williams
531,1630172,Patrick,Williams,Forward,6-7,215,2001-08-26,USA,Florida State,2020,Patrick Williams,Patrick Williams
532,1630533,Ziaire,Williams,Forward,6-9,185,2001-09-12,USA,Stanford,2021,Ziaire Williams,Ziaire Williams
533,1629057,Robert,Williams III,Center-Forward,6-9,237,1997-10-17,USA,Texas A&M,2018,Robert Williams III,Robert Williams
534,1631246,Vince,Williams Jr.,Guard,6-4,205,2000-08-30,USA,Virginia Commonwealth,2022,Vince Williams Jr.,Vince Williams Jr.
535,1629627,Zion,Williamson,Forward,6-6,284,2000-07-06,USA,Duke,2019,Zion Williamson,Zion Williamson
536,1629685,Dylan,Windler,Guard-Forward,6-7,196,1996-09-22,USA,Belmont,2019,Dylan Windler,Dylan Windler
538,1630164,James,Wiseman,Center,7-0,240,2001-03-31,USA,Memphis,2020,James Wiseman,James Wiseman
539,1626174,Christian,Wood,Forward,6-9,214,1995-09-27,USA,UNLV,2015,Christian Wood,Christian Wood
540,1626153,Delon,Wright,Guard,6-5,185,1992-04-26,USA,Utah,2015,Delon Wright,Delon Wright
543,201152,Thaddeus,Young,Forward,6-8,235,1988-06-21,USA,Georgia Tech,2007,Thaddeus Young,Thaddeus Young
544,1629027,Trae,Young,Guard,6-1,164,1998-09-19,USA,Oklahoma,2018,Trae Young,Trae Young
545,1630209,Omer,Yurtseven,Center,6-11,275,1998-06-19,Turkey,Georgetown,2020,Omer Yurtseven,Omer Yurtseven
546,203469,Cody,Zeller,Forward-Center,6-11,240,1992-10-05,USA,Indiana,2013,Cody Zeller,Cody Zeller
547,1627826,Ivica,Zubac,Center,7-0,240,1997-03-18,Croatia,Mega Basket,2016,Ivica Zubac,Ivica Zubac
